Names,Rates,Prices,category_name,url 
Settling the Score (The ...,2,44.91,Sports and Games,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
Icing (Aces Hockey #2),4,40.44,Sports and Games,http://books.toscrape.com/catalogue/category/books/sports-and-games_17/index.html
Names,Rates,Prices,category_name,url
The Torch Is Passed: ...,1,19.09,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Mindfulness and Acceptance ...,4,23.89,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Art Forger,3,40.76,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
On a Midnight Clear,3,14.07,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Judo: Seven Steps to ...,2,53.9,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
"Shobu Samurai, Project Aryoku ...",3,29.06,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Modern Romance,5,28.26,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The White Queen (The ...,5,25.91,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Song of Achilles,5,37.4,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Immortal Life of ...,2,40.67,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Dovekeepers,1,48.78,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
More Than Music (Chasing ...,2,37.61,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Code Name Verity (Code ...,4,22.13,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Cell,4,20.29,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Angels Walking (Angels Walking ...,2,34.2,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
A Series of Catastrophes ...,2,56.48,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
A People's History of ...,2,40.79,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
A Brush of Wings ...,1,55.51,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Rook,4,37.86,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
The Midnight Watch: A ...,1,26.2,Add a comment,http://books.toscrape.com/catalogue/category/books/add-a-comment_18/index.html
Names,Rates,Prices,category_name,url
Unicorn Tracks,3,18.78,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
"Saga, Volume 6 (Saga ...",3,25.02,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Princess Between Worlds (Wide-Awake ...,5,13.34,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Masks and Shadows,2,56.4,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Crown of Midnight (Throne ...,3,43.29,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Avatar: The Last Airbender: ...,2,28.09,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
A Court of Thorns ...,1,52.37,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Throne of Glass (Throne ...,3,35.07,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
The Glittering Court (The ...,1,44.28,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Hollow City (Miss Peregrine’s ...,1,42.98,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
The Star-Touched Queen,5,46.02,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
The Hidden Oracle (The ...,2,52.26,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
The Bane Chronicles (The ...,4,44.73,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Island of Dragons (Unwanteds ...,1,29.65,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Demigods & Magicians: Percy ...,5,37.51,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
City of Glass (The ...,4,56.02,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Searching for Meaning in ...,1,38.73,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
The Star-Touched Queen,5,32.3,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
A Shard of Ice ...,3,56.63,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
King's Folly (The Kinsman ...,5,39.61,Fantasy,http://books.toscrape.com/catalogue/category/books/fantasy_19/index.html
Names,Rates,Prices,category_name,url
Without Borders (Wanderlove #1),2,45.07,New Adult,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
The Mistake (Off-Campus #2),3,43.29,New Adult,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
The Matchmaker's Playbook (Wingmen ...,1,55.85,New Adult,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
The Hook Up (Game ...,5,36.29,New Adult,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
Shameless,3,58.35,New Adult,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
Off Sides (Off #1),5,39.45,New Adult,http://books.toscrape.com/catalogue/category/books/new-adult_20/index.html
Names,Rates,Prices,category_name,url
The Requiem Red,1,22.65,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Set Me Free,5,17.46,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
The Natural History of ...,3,45.22,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Obsidian (Lux #1),2,14.86,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Burning,3,28.81,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
A Fierce and Subtle ...,4,28.13,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Scarlett Epstein Hates It ...,5,43.55,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
"Nightingale, Sing",1,38.28,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Library of Souls (Miss ...,5,48.56,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Frostbite (Vampire Academy #2),5,29.99,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Wild Swans,2,14.36,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Until Friday Night (The ...,2,46.31,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
This Is Where It ...,2,27.12,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
The Darkest Lie,5,35.35,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
My Kind of Crazy,1,40.36,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Don't Get Caught,1,55.35,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Catching Jordan (Hundred Oaks),3,50.83,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Aristotle and Dante Discover ...,4,58.14,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
The Epidemic (The Program ...,5,14.44,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Stars Above (The Lunar ...,2,48.05,Young Adult,http://books.toscrape.com/catalogue/category/books/young-adult_21/index.html
Names,Rates,Prices,category_name,url
The Most Perfect Thing: ...,4,42.96,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Immunity: How Elie Metchnikoff ...,5,57.36,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Sorting the Beef from ...,4,44.74,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Tipping Point for Planet ...,1,37.55,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
The Fabric of the ...,1,55.91,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Diary of a Citizen ...,1,28.41,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
The Origin of Species,4,10.01,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
The Grand Design,3,13.76,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Peak: Secrets from the ...,2,16.28,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
"The Elegant Universe: Superstrings, ...",4,13.03,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
The Disappearing Spoon: And ...,5,57.35,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
"Surely You're Joking, Mr. ...",2,25.83,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Seven Brief Lessons on ...,4,30.6,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
The Selfish Gene,1,29.45,Science,http://books.toscrape.com/catalogue/category/books/science_22/index.html
Names,Rates,Prices,category_name,url
A Light in the ...,3,51.77,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
The Black Maria,1,52.15,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Shakespeare's Sonnets,4,20.66,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Olio,1,23.88,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
You can't bury them ...,2,33.63,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Slow States of Collapse: ...,3,57.31,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Untitled Collection: Sabbath Poems ...,4,14.27,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Poems That Make Grown ...,4,14.19,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Night Sky with Exit ...,1,41.05,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
salt.,4,46.78,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Quarter Life Poetry: Poems ...,5,50.89,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Out of Print: City ...,5,53.64,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Les Fleurs du Mal,5,29.04,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Howl and Other Poems,2,40.45,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Leave This Song Behind: ...,5,51.17,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
The Collected Poems of ...,5,15.42,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
The Crossover,4,38.77,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Booked,5,17.49,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Twenty Love Poems and ...,4,30.95,Poetry,http://books.toscrape.com/catalogue/category/books/poetry_23/index.html
Names,Rates,Prices,category_name,url
"Vampire Knight, Vol. 1 ...",1,15.4,Paranormal,http://books.toscrape.com/catalogue/category/books/paranormal_24/index.html
Names,Rates,Prices,category_name,url
Wall and Piece,4,44.18,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
Feathers: Displays of Brilliant ...,3,49.05,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
Art and Fear: Observations ...,4,48.63,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
The New Drawing on ...,3,43.02,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
History of Beauty,4,10.29,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
The Story of Art,4,41.14,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
The Art Book,2,32.34,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
Ways of Seeing,5,39.51,Art,http://books.toscrape.com/catalogue/category/books/art_25/index.html
Names,Rates,Prices,category_name,url
The Lucifer Effect: Understanding ...,1,10.4,Psychology,http://books.toscrape.com/catalogue/category/books/psychology_26/index.html
The Golden Condom: And ...,1,39.43,Psychology,http://books.toscrape.com/catalogue/category/books/psychology_26/index.html
It Didn't Start with ...,3,56.27,Psychology,http://books.toscrape.com/catalogue/category/books/psychology_26/index.html
An Unquiet Mind: A ...,3,21.3,Psychology,http://books.toscrape.com/catalogue/category/books/psychology_26/index.html
"Thinking, Fast and Slow",1,21.14,Psychology,http://books.toscrape.com/catalogue/category/books/psychology_26/index.html
Civilization and Its Discontents,2,59.95,Psychology,http://books.toscrape.com/catalogue/category/books/psychology_26/index.html
8 Keys to Mental ...,1,31.04,Psychology,http://books.toscrape.com/catalogue/category/books/psychology_26/index.html
Names,Rates,Prices,category_name,url
The Argonauts,2,10.93,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
M Train,1,27.18,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Lab Girl,1,40.85,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Approval Junkie: Adventures in ...,5,58.81,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Running with Scissors,4,12.91,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Me Talk Pretty One ...,2,57.6,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Lust & Wonder,2,11.87,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Life Without a Recipe,5,59.04,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
A Heartbreaking Work of ...,5,54.29,Autobiography,http://books.toscrape.com/catalogue/category/books/autobiography_27/index.html
Names,Rates,Prices,category_name,url
Catastrophic Happiness: Finding Joy ...,2,37.35,Parenting,http://books.toscrape.com/catalogue/category/books/parenting_28/index.html
Names,Rates,Prices,category_name,url
Fifty Shades Freed (Fifty ...,5,15.36,Adult Fiction,http://books.toscrape.com/catalogue/category/books/adult-fiction_29/index.html
Names,Rates,Prices,category_name,url
The Long Haul (Diary ...,1,44.07,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Old School (Diary of ...,5,11.83,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
I Know What I'm ...,4,25.98,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Hyperbole and a Half: ...,5,14.75,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Dress Your Family in ...,3,43.68,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Toddlers Are A**holes: It's ...,1,25.55,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
When You Are Engulfed ...,5,30.89,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Naked,3,31.69,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Lamb: The Gospel According ...,5,55.5,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Holidays on Ice,2,51.07,Humor,http://books.toscrape.com/catalogue/category/books/humor_30/index.html
Names,Rates,Prices,category_name,url
Security,2,39.25,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Follow You Home,1,21.36,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
The Loney,1,23.4,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Pet Sematary,3,10.56,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Doctor Sleep (The Shining ...,2,40.12,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Psycho: Sanitarium (Psycho #1.5),5,36.97,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Can You Keep a ...,1,48.64,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Red Dragon (Hannibal Lecter ...,3,23.37,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Dracula the Un-Dead,5,35.63,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Night Shift (Night Shift ...,4,12.75,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Needful Things,4,47.51,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Misery,2,34.79,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
It,3,25.01,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
'Salem's Lot,4,49.56,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
The Stand,2,57.86,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
The Girl with All ...,3,49.47,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
House of Leaves,1,54.89,Horror,http://books.toscrape.com/catalogue/category/books/horror_31/index.html
Names,Rates,Prices,category_name,url
Sapiens: A Brief History ...,5,54.23,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Unbound: How Eight Technologies ...,1,25.52,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
The Age of Genius: ...,1,19.73,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
"Political Suicide: Missteps, Peccadilloes, ...",2,36.28,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Thomas Jefferson and the ...,1,59.64,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Zealot: The Life and ...,3,24.7,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
A Distant Mirror: The ...,3,14.58,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
1491: New Revelations of ...,3,21.8,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Brilliant Beacons: A History ...,3,11.45,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
"""Most Blessed of the ...",5,44.48,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
A Short History of ...,5,52.4,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
The Rise and Fall ...,2,39.67,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Catherine the Great: Portrait ...,4,58.55,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
The Mathews Men: Seven ...,5,42.91,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
The Hiding Place,4,55.91,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
America's War for the ...,2,51.22,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
The Guns of August,2,14.54,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
House of Lost Worlds: ...,2,43.7,History,http://books.toscrape.com/catalogue/category/books/history_32/index.html
Names,Rates,Prices,category_name,url
Foolproof Preserving: A Guide ...,3,30.52,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Pioneer Woman Cooks: ...,1,56.41,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
My Paris Kitchen: Recipes ...,2,33.37,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Mama Tried: Traditional Italian ...,4,14.02,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
"Layered: Baking, Building, and ...",1,40.11,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Nerdy Nummies Cookbook: ...,5,37.34,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Love and Lemons ...,2,37.6,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Cookies & Cups ...,1,41.25,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Deliciously Ella Every Day: ...,3,42.16,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Help Yourself Cookbook ...,3,28.77,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
"It's All Easy: Healthy, ...",1,19.55,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Barefoot Contessa Back to ...,1,28.01,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Barefoot Contessa at Home: ...,5,50.62,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
My Kitchen Year: 136 ...,2,11.53,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Everyday Italian: 125 Simple ...,5,20.1,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
A la Mode: 120 ...,1,38.77,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Cravings: Recipes for What ...,3,20.5,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
The Moosewood Cookbook: Recipes ...,4,12.34,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
32 Yolks,2,53.63,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Naturally Lean: 125 Nourishing ...,5,11.38,Food and Drink,http://books.toscrape.com/catalogue/category/books/food-and-drink_33/index.html
Names,Rates,Prices,category_name,url
Redeeming Love,5,20.47,Christian Fiction,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
Close to You,4,49.46,Christian Fiction,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
Shadows of the Past ...,5,39.67,Christian Fiction,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
Like Never Before (Walker ...,2,28.77,Christian Fiction,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
Counted With the Stars ...,5,17.97,Christian Fiction,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
If I Run (If ...,4,49.97,Christian Fiction,http://books.toscrape.com/catalogue/category/books/christian-fiction_34/index.html
Names,Rates,Prices,category_name,url
The Dirty Little Secrets ...,4,33.34,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
The Third Wave: An ...,5,12.61,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
The 10% Entrepreneur: Live ...,3,27.55,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Shoe Dog: A Memoir ...,2,23.99,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Made to Stick: Why ...,5,38.85,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Quench Your Own Thirst: ...,1,43.14,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
The Art of Startup ...,3,21.0,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Born for This: How ...,5,21.59,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
The E-Myth Revisited: Why ...,1,36.91,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
"Rich Dad, Poor Dad",1,51.74,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
The Lean Startup: How ...,3,33.92,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Rework,2,44.88,Business,http://books.toscrape.com/catalogue/category/books/business_35/index.html
Names,Rates,Prices,category_name,url
Louisa: The Extraordinary Life ...,2,16.85,Biography,http://books.toscrape.com/catalogue/category/books/biography_36/index.html
Setting the World on ...,2,21.15,Biography,http://books.toscrape.com/catalogue/category/books/biography_36/index.html
The Faith of Christopher ...,1,39.55,Biography,http://books.toscrape.com/catalogue/category/books/biography_36/index.html
Benjamin Franklin: An American ...,3,48.19,Biography,http://books.toscrape.com/catalogue/category/books/biography_36/index.html
The Rise of Theodore ...,3,42.57,Biography,http://books.toscrape.com/catalogue/category/books/biography_36/index.html
Names,Rates,Prices,category_name,url
In Her Wake,1,12.84,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
The Elephant Tree,5,23.82,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
Behind Closed Doors,4,52.22,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
You (You #1),5,43.61,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
The Guilty (Will Robie ...,2,13.82,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
The 14th Colony (Cotton ...,1,39.24,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
Give It Back,2,18.32,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
Killing Floor (Jack Reacher ...,4,31.49,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
The Bone Hunters (Lexy ...,3,59.71,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
Far From True (Promise ...,2,34.93,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
The Travelers,1,15.77,Thriller,http://books.toscrape.com/catalogue/category/books/thriller_37/index.html
Names,Rates,Prices,category_name,url
When We Collided,1,31.77,Contemporary,http://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
Someone Like You (The ...,5,52.79,Contemporary,http://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
We Are All Completely ...,1,24.04,Contemporary,http://books.toscrape.com/catalogue/category/books/contemporary_38/index.html
Names,Rates,Prices,category_name,url
The Four Agreements: A ...,5,17.66,Spirituality,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
The Activist's Tao Te ...,5,32.24,Spirituality,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
Chasing Heaven: What Dying ...,2,37.8,Spirituality,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
If I Gave You ...,1,20.91,Spirituality,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
Unreasonable Hope: Finding Faith ...,2,46.33,Spirituality,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
A New Earth: Awakening ...,5,55.65,Spirituality,http://books.toscrape.com/catalogue/category/books/spirituality_39/index.html
Names,Rates,Prices,category_name,url
Logan Kade (Fallen Crest ...,2,13.12,Academic,http://books.toscrape.com/catalogue/category/books/academic_40/index.html
Names,Rates,Prices,category_name,url
Online Marketing for Busy ...,1,46.35,Self Help,http://books.toscrape.com/catalogue/category/books/self-help_41/index.html
How to Be Miserable: ...,1,46.03,Self Help,http://books.toscrape.com/catalogue/category/books/self-help_41/index.html
"Overload: How to Unplug, ...",3,52.15,Self Help,http://books.toscrape.com/catalogue/category/books/self-help_41/index.html
You Are a Badass: ...,3,12.08,Self Help,http://books.toscrape.com/catalogue/category/books/self-help_41/index.html
How to Stop Worrying ...,5,46.49,Self Help,http://books.toscrape.com/catalogue/category/books/self-help_41/index.html
Names,Rates,Prices,category_name,url
All the Light We ...,5,29.87,Historical,http://books.toscrape.com/catalogue/category/books/historical_42/index.html
The Girl You Left ...,1,15.79,Historical,http://books.toscrape.com/catalogue/category/books/historical_42/index.html
Names,Rates,Prices,category_name,url
(Un)Qualified: How God Uses ...,5,54.0,Christian,http://books.toscrape.com/catalogue/category/books/christian_43/index.html
Crazy Love: Overwhelmed by ...,2,47.72,Christian,http://books.toscrape.com/catalogue/category/books/christian_43/index.html
Blue Like Jazz: Nonreligious ...,1,25.77,Christian,http://books.toscrape.com/catalogue/category/books/christian_43/index.html
Names,Rates,Prices,category_name,url
Silence in the Dark ...,3,58.33,Suspense,http://books.toscrape.com/catalogue/category/books/suspense_44/index.html
Names,Rates,Prices,category_name,url
The Grownup,1,35.88,Short Stories,http://books.toscrape.com/catalogue/category/books/short-stories_45/index.html
Names,Rates,Prices,category_name,url
Suzie Snowflake: One beautiful ...,5,54.81,Novels,http://books.toscrape.com/catalogue/category/books/novels_46/index.html
Names,Rates,Prices,category_name,url
The Bulletproof Diet: Lose ...,3,49.05,Health,http://books.toscrape.com/catalogue/category/books/health_47/index.html
"Eat Fat, Get Thin",2,54.07,Health,http://books.toscrape.com/catalogue/category/books/health_47/index.html
